file,book,conference,DO,TY,TI,T2,SP,EP,PY,JO,IS,SN,VO,VL,JA,Y1,PB,UR,AU,KW,AB
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934538,JOUR,Data Changes Everything: Challenges and Opportunities in Data Visualization Design Handoff,IEEE Transactions on Visualization and Computer Graphics,12,22,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934538,"['Walny, J.', 'Frisson, C.', 'West, M.', 'Kosminsky, D.', 'Knudsen, S.', 'Carpendale, S.', 'Willett, W.']","[""Data visualization"", ""Tools"", ""Collaboration"", ""Design tools"", ""Software"", ""Task analysis"", ""Information visualization"", ""design handoff"", ""data mapping"", ""design process""]","Complex data visualization design projects often entail collaboration between people with different visualization-related skills. For example, many teams include both designers who create new visualization designs and developers who implement the resulting visualization software. We identify gaps between data characterization tools, visualization design tools, and development platforms that pose challenges for designer-developer teams working to create new data visualizations. While it is common for commercial interaction design tools to support collaboration between designers and developers, creating data visualizations poses several unique challenges that are not supported by current tools. In particular, visualization designers must characterize and build an understanding of the underlying data, then specify layouts, data encodings, and other data-driven parameters that will be robust across many different data values. In larger teams, designers must also clearly communicate these mappings and their dependencies to developers, clients, and other collaborators. We report observations and reflections from five large multidisciplinary visualization design projects and highlight six data-specific visualization challenges for design specification and handoff. These challenges include adapting to changing data, anticipating edge cases in data, understanding technical challenges, articulating data-dependent interactions, communicating data mappings, and preserving the integrity of data mappings across iterations. Based on these observations, we identify opportunities for future tools for prototyping, testing, and communicating data-driven designs, which might contribute to more successful and collaborative data visualization design."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934312,JOUR,InSituNet: Deep Image Synthesis for Parameter Space Exploration of Ensemble Simulations,IEEE Transactions on Visualization and Computer Graphics,23,33,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934312,"['He, W.', 'Wang, J.', 'Guo, H.', 'Wang, K.', 'Shen, H.', 'Raj, M.', 'Nashed, Y. S. G.', 'Peterka, T.']","[""Data visualization"", ""Data models"", ""Visualization"", ""Analytical models"", ""Space exploration"", ""Deep learning"", ""Image synthesis"", ""In situ visualization"", ""ensemble visualization"", ""parameter space exploration"", ""deep learning"", ""image synthesis""]","We propose InSituNet, a deep learning based surrogate model to support parameter space exploration for ensemble simulations that are visualized in situ. In situ visualization, generating visualizations at simulation time, is becoming prevalent in handling large-scale simulations because of the I/O and storage constraints. However, in situ visualization approaches limit the flexibility of post-hoc exploration because the raw simulation data are no longer available. Although multiple image-based approaches have been proposed to mitigate this limitation, those approaches lack the ability to explore the simulation parameters. Our approach allows flexible exploration of parameter space for large-scale ensemble simulations by taking advantage of the recent advances in deep learning. Specifically, we design InSituNet as a convolutional regression model to learn the mapping from the simulation and visualization parameters to the visualization results. With the trained model, users can generate new images for different simulation parameters under various visualization settings, which enables in-depth analysis of the underlying ensemble simulations. We demonstrate the effectiveness of InSituNet in combustion, cosmology, and ocean simulations through quantitative and qualitative evaluations."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934591,JOUR,NNVA: Neural Network Assisted Visual Analysis of Yeast Cell Polarization Simulation,IEEE Transactions on Visualization and Computer Graphics,34,44,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934591,"['Hazarika, S.', 'Li, H.', 'Wang, K.', 'Shen, H.', 'Chou, C.']","[""Analytical models"", ""Computational modeling"", ""Visualization"", ""Biological system modeling"", ""Neural networks"", ""Machine learning"", ""Data models"", ""Surrogate modeling"", ""Neural networks"", ""Computational biology"", ""Visual analysis"", ""Parameter analysis""]","Complex computational models are often designed to simulate real-world physical phenomena in many scientific disciplines. However, these simulation models tend to be computationally very expensive and involve a large number of simulation input parameters, which need to be analyzed and properly calibrated before the models can be applied for real scientific studies. We propose a visual analysis system to facilitate interactive exploratory analysis of high-dimensional input parameter space for a complex yeast cell polarization simulation. The proposed system can assist the computational biologists, who designed the simulation model, to visually calibrate the input parameters by modifying the parameter values and immediately visualizing the predicted simulation outcome without having the need to run the original expensive simulation for every instance. Our proposed visual analysis system is driven by a trained neural network-based surrogate model as the backend analysis framework. In this work, we demonstrate the advantage of using neural networks as surrogate models for visual analysis by incorporating some of the recent advances in the field of uncertainty quantification, interpretability and explainability of neural network-based models. We utilize the trained network to perform interactive parameter sensitivity analysis of the original simulation as well as recommend optimal parameter configurations using the activation maximization framework of neural networks. We also facilitate detail analysis of the trained network to extract useful insights about the simulation model, learned by the network, during the training process. We performed two case studies, and discovered multiple new parameter configurations, which can trigger high cell polarization results in the original simulation model. We evaluated our results by comparing with the original simulation model outcomes as well as the findings from previous parameter analysis performed by our experts."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934251,JOUR,Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning,IEEE Transactions on Visualization and Computer Graphics,45,55,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934251,"['Fujiwara, T.', 'Kwon, O.', 'Ma, K.']","[""Principal component analysis"", ""Task analysis"", ""Data visualization"", ""Visual analytics"", ""Dimensionality reduction"", ""Feature extraction"", ""Dimensionality reduction"", ""contrastive learning"", ""principal component analysis"", ""high-dimensional data"", ""visual analytics""]","Dimensionality reduction (DR) is frequently used for analyzing and visualizing high-dimensional data as it provides a good first glance of the data. However, to interpret the DR result for gaining useful insights from the data, it would take additional analysis effort such as identifying clusters and understanding their characteristics. While there are many automatic methods (e.g., density-based clustering methods) to identify clusters, effective methods for understanding a cluster's characteristics are still lacking. A cluster can be mostly characterized by its distribution of feature values. Reviewing the original feature values is not a straightforward task when the number of features is large. To address this challenge, we present a visual analytics method that effectively highlights the essential features of a cluster in a DR result. To extract the essential features, we introduce an enhanced usage of contrastive principal component analysis (cPCA). Our method, called ccPCA (contrasting clusters in PCA), can calculate each feature's relative contribution to the contrast between one cluster and other clusters. With ccPCA, we have created an interactive system including a scalable visualization of clusters' feature contributions. We demonstrate the effectiveness of our method and system with case studies using several publicly available datasets."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934619,JOUR,The What-If Tool: Interactive Probing of Machine Learning Models,IEEE Transactions on Visualization and Computer Graphics,56,65,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934619,"['Wexler, J.', 'Pushkarna, M.', 'Bolukbasi, T.', 'Wattenberg, M.', 'Viegas, F.', 'Wilson, J.']","[""Tools"", ""Data models"", ""Data visualization"", ""Analytical models"", ""Predictive models"", ""Machine learning"", ""Computational modeling"", ""Interactive Machine Learning"", ""Model Debugging"", ""Model Comparison""]","A key challenge in developing and deploying Machine Learning (ML) systems is understanding their performance across a wide range of inputs. To address this challenge, we created the What-If Tool, an open-source application that allows practitioners to probe, visualize, and analyze ML systems, with minimal coding. The What-If Tool lets practitioners test performance in hypothetical situations, analyze the importance of different data features, and visualize model behavior across multiple models and subsets of input data. It also lets practitioners measure systems according to multiple ML fairness metrics. We describe the design of the tool, and report on real-life usage at different organizations."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934593,JOUR,Understanding the Role of Alternatives in Data Analysis Practices,IEEE Transactions on Visualization and Computer Graphics,66,76,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934593,"['Liu, J.', 'Boukhelifa, N.', 'Eagan, J. R.']","[""Tools"", ""Data analysis"", ""Analytical models"", ""Computational modeling"", ""Interviews"", ""Task analysis"", ""Data models"", ""alternatives"", ""data workers"", ""data analysis"", ""data science"", ""sensemaking"", ""qualitative study""]","Data workers are people who perform data analysis activities as a part of their daily work but do not formally identify as data scientists. They come from various domains and often need to explore diverse sets of hypotheses and theories, a variety of data sources, algorithms, methods, tools, and visual designs. Taken together, we call these alternatives. To better understand and characterize the role of alternatives in their analyses, we conducted semi-structured interviews with 12 data workers with different types of expertise. We conducted four types of analyses to understand 1) why data workers explore alternatives; 2) the different notions of alternatives and how they fit into the sensemaking process; 3) the high-level processes around alternatives; and 4) their strategies to generate, explore, and manage those alternatives. We find that participants' diverse levels of domain and computational expertise, experience with different tools, and collaboration within their broader context play an important role in how they explore these alternatives. These findings call out the need for more attention towards a deeper understanding of alternatives and the need for better tools to facilitate the exploration, interpretation, and management of alternatives. Drawing upon these analyses and findings, we present a framework based on participants' 1) degree of attention, 2) abstraction level, and 3) analytic processes. We show how this framework can help understand how data workers consider such alternatives in their analyses and how tool designers might create tools to better support them."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934609,JOUR,VASABI: Hierarchical User Profiles for Interactive Visual User Behaviour Analytics,IEEE Transactions on Visualization and Computer Graphics,77,86,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934609,"['Nguyen, P. H.', 'Henkin, R.', 'Chen, S.', 'Andrienko, N.', 'Andrienko, G.', 'Thonnard, O.', 'Turkay, C.']","[""Task analysis"", ""Data visualization"", ""Feature extraction"", ""Visual analytics"", ""Analytical models"", ""Buildings"", ""hierarchical user profiles"", ""user behaviour analytics"", ""visual analytics"", ""cybersecurity""]","User behaviour analytics (UBA) systems offer sophisticated models that capture users' behaviour over time with an aim to identify fraudulent activities that do not match their profiles. Motivated by the challenges in the interpretation of UBA models, this paper presents a visual analytics approach to help analysts gain a comprehensive understanding of user behaviour at multiple levels, namely individual and group level. We take a user-centred approach to design a visual analytics framework supporting the analysis of collections of users and the numerous sessions of activities they conduct within digital applications. The framework is centred around the concept of hierarchical user profiles that are built based on features derived from sessions, as well as on user tasks extracted using a topic modelling approach to summarise and stratify user behaviour. We externalise a series of analysis goals and tasks, and evaluate our methods through use cases conducted with experts. We observe that with the aid of interactive visual hierarchical user profiles, analysts are able to conduct exploratory and investigative analysis effectively, and able to understand the characteristics of user behaviour to make informed decisions whilst evaluating suspicious users and activities."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934539,JOUR,Criteria for Rigor in Visualization Design Study,IEEE Transactions on Visualization and Computer Graphics,87,97,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934539,"['Meyer, M.', 'Dykes, J.']","[""Visualization"", ""Social sciences"", ""Data visualization"", ""Information systems"", ""Context"", ""Production"", ""design study"", ""relativism"", ""interpretivism"", ""knowledge construction"", ""qualitative research"", ""research through design""]","We develop a new perspective on research conducted through visualization design study that emphasizes design as a method of inquiry and the broad range of knowledge-contributions achieved through it as multiple, subjective, and socially constructed. From this interpretivist position we explore the nature of visualization design study and develop six criteria for rigor. We propose that rigor is established and judged according to the extent to which visualization design study research and its reporting are INFORMED, REFLEXIVE, ABUNDANT, PLAUSIBLE, RESONANT, and TRANSPARENT. This perspective and the criteria were constructed through a four-year engagement with the discourse around rigor and the nature of knowledge in social science, information systems, and design. We suggest methods from cognate disciplines that can support visualization researchers in meeting these criteria during the planning, execution, and reporting of design study. Through a series of deliberately provocative questions, we explore implications of this new perspective for design study research in visualization, concluding that as a discipline, visualization is not yet well positioned to embrace, nurture, and fully benefit from a rigorous, interpretivist approach to design study. The perspective and criteria we present are intended to stimulate dialogue and debate around the nature of visualization design study and the broader underpinnings of the discipline."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934788,JOUR,Data by Proxy -- Material Traces as Autographic Visualizations,IEEE Transactions on Visualization and Computer Graphics,98,108,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934788,"['Offenhuber, D.']","[""Data visualization"", ""Visualization"", ""Data models"", ""History"", ""Semiotics"", ""Ice"", ""Indexes"", ""Traces"", ""indexicality"", ""data physicalization"", ""proxy data sources"", ""data materiality""]","Information visualization limits itself, per definition, to the domain of symbolic information. This paper discusses arguments why the field should also consider forms of data that are not symbolically encoded, including physical traces and material indicators. Continuing a provocation presented by Pat Hanrahan in his 2004 IEEE Vis capstone address, this paper compares physical traces to visualizations and describes the techniques and visual practices for producing, revealing, and interpreting them. By contrasting information visualization with a speculative counter model of autographic visualization, this paper examines the design principles for material data. Autographic visualization addresses limitations of information visualization, such as the inability to directly reflect the material circumstances of data generation. The comparison between the two models allows probing the epistemic assumptions behind information visualization and uncovers linkages with the rich history of scientific visualization and trace reading. The paper begins by discussing the gap between data visualizations and their corresponding phenomena and proceeds by investigating how material visualizations can bridge this gap. It contextualizes autographic visualization with paradigms such as data physicalization and indexical visualization and grounds it in the broader theoretical literature of semiotics, science and technology studies (STS), and the history of scientific representation. The main section of the paper proposes a foundational design vocabulary for autographic visualization and offers examples of how citizen scientists already use autographic principles in their displays, which seem to violate the canonical principles of information visualization but succeed at fulfilling other rhetorical purposes in evidence construction. The paper concludes with a discussion of the limitations of autographic visualization, a roadmap for the empirical investigation of trace perception, and thoughts about how information visualization and autographic visualization techniques can contribute to each other."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934790,JOUR,Design by Immersion: A Transdisciplinary Approach to Problem-Driven Visualizations,IEEE Transactions on Visualization and Computer Graphics,109,118,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934790,"['Hall, K. W.', 'Bradley, A. J.', 'Hinrichs, U.', 'Huron, S.', 'Wood, J.', 'Collins, C.', 'Carpendale, S.']","[""Visualization"", ""Collaboration"", ""Cultural differences"", ""Data visualization"", ""Buildings"", ""Global communication"", ""Visualization"", ""problem-driven"", ""design studies"", ""collaboration"", ""methodology"", ""framework""]","While previous work exists on how to conduct and disseminate insights from problem-driven visualization projects and design studies, the literature does not address how to accomplish these goals in transdisciplinary teams in ways that advance all disciplines involved. In this paper we introduce and define a new methodological paradigm we call design by immersion, which provides an alternative perspective on problem-driven visualization work. Design by immersion embeds transdisciplinary experiences at the center of the visualization process by having visualization researchers participate in the work of the target domain (or domain experts participate in visualization research). Based on our own combined experiences of working on cross-disciplinary, problem-driven visualization projects, we present six case studies that expose the opportunities that design by immersion enables, including (1) exploring new domain-inspired visualization design spaces, (2) enriching domain understanding through personal experiences, and (3) building strong transdisciplinary relationships. Furthermore, we illustrate how the process of design by immersion opens up a diverse set of design activities that can be combined in different ways depending on the type of collaboration, project, and goals. Finally, we discuss the challenges and potential pitfalls of design by immersion."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934283,JOUR,What is Interaction for Data Visualization?,IEEE Transactions on Visualization and Computer Graphics,119,129,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934283,"['Dimara, E.', 'Perin, C.']","[""Data visualization"", ""Human computer interaction"", ""Pipelines"", ""Current measurement"", ""Tagging"", ""Visual analytics"", ""interaction"", ""visualization"", ""data"", ""definition"", ""human-computer interaction""]","Interaction is fundamental to data visualization, but what ""interaction@ means in the context of visualization is ambiguous and confusing. We argue that this confusion is due to a lack of consensual definition. To tackle this problem, we start by synthesizing an inclusive view of interaction in the visualization community @ including insights from information visualization, visual analytics and scientific visualization, as well as the input of both senior and junior visualization researchers. Once this view takes shape, we look at how interaction is defined in the field of human-computer interaction (HCI). By extracting commonalities and differences between the views of interaction in visualization and in HCI, we synthesize a definition of interaction for visualization. Our definition is meant to be a thinking tool and inspire novel and bolder interaction design practices. We hope that by better understanding what interaction in visualization is and what it can be, we will enrich the quality of interaction in visualization systems and empower those who use them."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934287,JOUR,Why Authors Don't Visualize Uncertainty,IEEE Transactions on Visualization and Computer Graphics,130,139,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934287,"['Hullman, J.']","[""Uncertainty"", ""Data visualization"", ""Visualization"", ""Interviews"", ""Decision making"", ""Media"", ""Adaptation models"", ""Uncertainty visualization"", ""graphical statistical inference"", ""visualization rhetoric""]","Clear presentation of uncertainty is an exception rather than rule in media articles, data-driven reports, and consumer applications, despite proposed techniques for communicating sources of uncertainty in data. This work considers, Why do so many visualization authors choose not to visualize uncertainty? I contribute a detailed characterization of practices, associations, and attitudes related to uncertainty communication among visualization authors, derived from the results of surveying 90 authors who regularly create visualizations for others as part of their work, and interviewing thirteen influential visualization designers. My results highlight challenges that authors face and expose assumptions and inconsistencies in beliefs about the role of uncertainty in visualization. In particular, a clear contradiction arises between authors' acknowledgment of the value of depicting uncertainty and the norm of omitting direct depiction of uncertainty. To help explain this contradiction, I present a rhetorical model of uncertainty omission in visualization-based communication. I also adapt a formal statistical model of how viewers judge the strength of a signal in a visualization to visualization-based communication, to argue that uncertainty communication necessarily reduces degrees of freedom in viewers' statistical inferences. I conclude with recommendations for how visualization research on uncertainty communication could better serve practitioners' current needs and values while deepening understanding of assumptions that reinforce uncertainty omission."
